outcome, ESPN.Yes, ESPN.No, Geek.Yes, Geek.No, Pinterest.Yes, Pinterest.No, Etsy.Yes, Etsy.No, iHeartRadio.Yes, iHeartRadio.No, Words.Yes, Words.No, Snapchat.Yes, Snapchat.No, Vine.Yes, Vine.No, Walmart.Yes, Walmart.No, Zillow.Yes, Zillow.No, Uber.Yes, Uber.No, Tumblr.Yes, Tumblr.No, Yelp.Yes, Yelp.No, LinkedIn.Yes, LinkedIn.No, Redbox.Yes, Redbox.No, Job.Yes, Job.No, Foursquare.Yes, Foursquare.No, Tinder.Yes, Tinder.No, Cartwheel.Yes, Cartwheel.No, Fallout.Yes, Fallout.No, GroupMe.Yes, GroupMe.No, iFunny.Yes, iFunny.No, Soundcloud.Yes, Soundcloud.No, Fitbit.Yes, Fitbit.No, Quickmemo.Yes, Quickmemo.No, Facebook.Yes, Facebook.No, YouTube.Yes, YouTube.No, Google.Yes, Google.No, Pandora.Yes, Pandora.No, Instagram.Yes, Instagram.No, Lookout.Yes, Lookout.No, OkCupid.Yes, OkCupid.No
"You are a married guy older than 32 who makes more than $52,000/year",12,0,7,0,0,0,0,0,4,0,5,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"You are a married guy older than 32 who makes less than $52,000/year",12,0,7,0,0,0,0,0,4,0,5,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"You are a single guy older than 32 who makes more than $52,000/year",8,0,7,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,4,0,5,0,3,0,5,0,4,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
"You are a single guy older than 32 who makes less than $52,000/year",8,0,7,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,3,0,13,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
"You are a married guy younger than 32 who makes more than $52,000/year",12,0,7,0,0,0,0,0,0,0,0,0,11,0,4,0,4,0,6,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,6,0,0,0,11,0,5,0,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You are a married guy younger than 32 who makes less than $52,000/year",12,0,7,0,0,0,0,0,0,0,0,0,11,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,0,0,0,11,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You are a single guy younger than 32 who makes more than $52,000/year",8,0,7,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,4,0,5,0,3,0,5,0,4,0,0,0,0,0,13,0,0,0,11,0,5,0,5,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"You are a single guy younger than 32 who makes less than $52,000/year",8,0,7,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,3,0,13,0,0,0,11,0,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"You are a married lady older than 32 who makes more than $52,000/year",0,0,0,0,17,0,7,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"You are a married lady older than 32 who makes less than $52,000/year",0,0,0,0,17,0,7,0,4,0,5,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"You are a single lady older than 32 who makes more than $52,000/year",0,0,0,0,10,0,7,0,4,0,5,0,9,0,0,0,0,0,0,0,4,0,5,0,3,0,5,0,4,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
"You are a single lady older than 32 who makes less than $52,000/year",0,0,0,0,10,0,7,0,4,0,5,0,9,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,3,0,7,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
"You are a married lady younger than 32 who makes more than $52,000/year",0,0,0,0,17,0,7,0,0,0,0,0,11,0,4,0,4,0,6,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You are a married lady younger than 32 who makes less than $52,000/year",0,0,0,0,17,0,7,0,0,0,0,0,11,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You are a single lady younger than 32 who makes more than $52,000/year",0,0,0,0,10,0,7,0,0,0,0,0,20,0,4,0,0,0,0,0,4,0,5,0,3,0,5,0,4,0,0,0,0,0,7,0,5,0,5,0,5,0,5,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"You are a single lady younger than 32 who makes less than $52,000/year",0,0,0,0,10,0,7,0,0,0,0,0,20,0,4,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,3,0,7,0,5,0,5,0,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
